district,state,population,male_population,female_population,literate_population,literacy_rate,gender_ratio,literacy_index,population_weight
kupwara,jammu and kashmir,870354,474190,396164,439654,50.51438839828391,835.4541428541302,0.5051438839828392,0.07869279868587653
badgam,jammu and kashmir,753745,398041,355704,335649,44.53084265898944,893.636585175899,0.44530842658989445,0.06814963054743933
leh(ladakh),jammu and kashmir,133487,78971,54516,93770,70.24654086165694,690.329361411151,0.7024654086165694,0.01206918750092675
kargil,jammu and kashmir,140802,77785,63017,86236,61.246289115211425,810.1433438323584,0.6124628911521143,0.012730571055649526
punch,jammu and kashmir,476835,251899,224936,261724,54.88774943114495,892.9610677295266,0.5488774943114495,0.04311289505348392
rajouri,jammu and kashmir,642415,345351,297064,364109,56.678159756543664,860.1799328798816,0.5667815975654367,0.05808376162778292
kathua,jammu and kashmir,616435,326109,290326,389204,63.1378815284661,890.2728842196934,0.631378815284661,0.05573478763575316
baramula,jammu and kashmir,1008039,534733,473306,545149,54.080149676748626,885.1258478530407,0.5408014967674862,0.09114154711130448
bandipore,jammu and kashmir,392232,207680,184552,185979,47.41556017866977,888.6363636363636,0.4741556017866977,0.03546353990923087
srinagar,jammu and kashmir,1236829,651124,585705,748584,60.52445406761969,899.5291219491219,0.6052445406761969,0.11182752708191608
ganderbal,jammu and kashmir,297446,158720,138726,143276,48.168743234066014,874.0297379032259,0.48168743234066014,0.026893491841158003
pulwama,jammu and kashmir,560440,293064,267376,293958,52.451288273499394,912.3467911445964,0.524512882734994,0.0506720163238322
shupiyan,jammu and kashmir,266215,136480,129735,136500,51.27434592340777,950.5788393903869,0.5127434592340777,0.02406975024204016
anantnag,jammu and kashmir,1078692,559767,518925,545532,50.57347231647217,927.0374995310549,0.5057347231647217,0.09752961714436371
kulgam,jammu and kashmir,424483,217620,206863,209085,49.25638953739019,950.5698005698006,0.49256389537390194,0.038379504505726324
doda,jammu and kashmir,409936,213641,196295,219083,53.443220405136415,918.8077194920451,0.5344322040513642,0.037064241816655616
